Date,bci
2012-07-04,1369.0
2012-07-05,1455.0
2012-07-06,1493.0
2012-07-07,1497.0
2012-07-08,1497.0
2012-07-09,1501.0
2012-07-10,1484.0
2012-07-11,1428.0
2012-07-12,1352.0
2012-07-13,1320.0
2012-07-14,1315.0
2012-07-15,1315.0
2012-07-16,1310.0
2012-07-17,1301.0
2012-07-18,1286.0
2012-07-19,1276.0
2012-07-20,1276.0
2012-07-21,1275.5
2012-07-22,1275.5
2012-07-23,1275.0
2012-07-24,1261.0
2012-07-25,1239.0
2012-07-26,1224.0
2012-07-27,1209.0
2012-07-28,1204.5
2012-07-29,1204.5
2012-07-30,1200.0
2012-07-31,1194.0
2012-08-01,1181.0
2012-08-02,1178.0
2012-08-03,1200.0
2012-08-04,1207.0
2012-08-05,1207.0
2012-08-06,1214.0
2012-08-07,1237.0
2012-08-08,1204.0
2012-08-09,1192.0
2012-08-10,1169.0
2012-08-11,1163.5
2012-08-12,1163.5
2012-08-13,1158.0
2012-08-14,1147.0
2012-08-15,1120.0
2012-08-16,1105.0
2012-08-17,1095.0
2012-08-18,1091.0
2012-08-19,1091.0
2012-08-20,1087.0
2012-08-21,1082.0
2012-08-22,1091.0
2012-08-23,1103.0
2012-08-24,1124.0
2012-08-25,1153.0
2012-08-26,1153.0
2012-08-27,1153.0
2012-08-28,1182.0
2012-08-29,1177.0
2012-08-30,1169.0
2012-08-31,1172.0
2012-09-01,1176.0
2012-09-02,1176.0
2012-09-03,1180.0
2012-09-04,1186.0
2012-09-05,1188.0
2012-09-06,1186.0
2012-09-07,1186.0
2012-09-08,1187.0
2012-09-09,1187.0
2012-09-10,1188.0
2012-09-11,1187.0
2012-09-12,1186.0
2012-09-13,1198.0
2012-09-14,1204.0
2012-09-15,1211.5
2012-09-16,1211.5
2012-09-17,1219.0
2012-09-18,1326.0
2012-09-19,1421.0
2012-09-20,1531.0
2012-09-21,1584.0
2012-09-22,1581.0
2012-09-23,1581.0
2012-09-24,1578.0
2012-09-25,1568.0
2012-09-26,1549.0
2012-09-27,1548.0
2012-09-28,1621.0
2012-09-29,1640.5
2012-09-30,1640.5
2012-10-01,1660.0
2012-10-02,1676.0
2012-10-03,1738.0
2012-10-04,1873.0
2012-10-05,1932.0
2012-10-06,1926.5
2012-10-07,1926.5
2012-10-08,1921.0
2012-10-09,1829.0
2012-10-10,1775.0
2012-10-11,1833.0
2012-10-12,1914.0
2012-10-13,1937.0
2012-10-14,1937.0
2012-10-15,1960.0
2012-10-16,2103.0
2012-10-17,2162.0
2012-10-18,2135.0
2012-10-19,2217.0
2012-10-20,2274.5
2012-10-21,2274.5
2012-10-22,2332.0
2012-10-23,2587.0
2012-10-24,2530.0
2012-10-25,2432.0
2012-10-26,2451.0
2012-10-27,2455.5
2012-10-28,2455.5
2012-10-29,2460.0
2012-10-30,2458.0
2012-10-31,2419.0
2012-11-01,2355.0
2012-11-02,2304.0
2012-11-03,2282.5
2012-11-04,2282.5
2012-11-05,2261.0
2012-11-06,2186.0
2012-11-07,2098.0
2012-11-08,2119.0
2012-11-09,2203.0
2012-11-10,2243.0
2012-11-11,2243.0
2012-11-12,2283.0
2012-11-13,2327.0
2012-11-14,2375.0
2012-11-15,2350.0
2012-11-16,2347.0
2012-11-17,2358.0
2012-11-18,2358.0
2012-11-19,2369.0
2012-11-20,2367.0
2012-11-21,2335.0
2012-11-22,2318.0
2012-11-23,2288.0
2012-11-24,2282.5
2012-11-25,2282.5
2012-11-26,2277.0
2012-11-27,2275.0
2012-11-28,2275.0
2012-11-29,2241.0
2012-11-30,2199.0
2012-12-01,2182.5
2012-12-02,2182.5
2012-12-03,2166.0
2012-12-04,2095.0
2012-12-05,2000.0
2012-12-06,1897.0
2012-12-07,1832.0
2012-12-08,1797.0
2012-12-09,1797.0
2012-12-10,1762.0
2012-12-11,1652.0
2012-12-12,1446.0
2012-12-13,1407.0
2012-12-14,1440.0
2012-12-15,1421.5
2012-12-16,1421.5
2012-12-17,1403.0
2012-12-18,1315.0
2012-12-19,1233.0
2012-12-20,1226.0
2012-12-21,1228.0
2012-12-22,1231.5
2012-12-23,1231.5
2012-12-24,1235.0
2012-12-25,1236.0
2012-12-26,1236.0
2012-12-27,1236.0
2012-12-28,1236.0
2012-12-29,1236.0
2012-12-30,1236.0
2012-12-31,1236.0
2013-01-01,1236.0
2013-01-02,1237.0
2013-01-03,1254.0
2013-01-04,1285.0
2013-01-05,1302.0
2013-01-06,1302.0
2013-01-07,1319.0
2013-01-08,1386.0
2013-01-09,1384.0
2013-01-10,1367.0
2013-01-11,1367.0
2013-01-12,1368.5
2013-01-13,1368.5
2013-01-14,1370.0
2013-01-15,1365.0
2013-01-16,1431.0
