Date,BDI
2012-07-04,1103.0
2012-07-05,1138.0
2012-07-06,1157.0
2012-07-07,1159.5
2012-07-08,1159.5
2012-07-09,1162.0
2012-07-10,1160.0
2012-07-11,1146.0
2012-07-12,1121.0
2012-07-13,1110.0
2012-07-14,1106.0
2012-07-15,1106.0
2012-07-16,1102.0
2012-07-17,1093.0
2012-07-18,1074.0
2012-07-19,1053.0
2012-07-20,1037.0
2012-07-21,1029.5
2012-07-22,1029.5
2012-07-23,1022.0
2012-07-24,1003.0
2012-07-25,982.0
2012-07-26,958.0
2012-07-27,933.0
2012-07-28,924.0
2012-07-29,924.0
2012-07-30,915.0
2012-07-31,897.0
2012-08-01,878.0
2012-08-02,861.0
2012-08-03,852.0
2012-08-04,847.5
2012-08-05,847.5
2012-08-06,843.0
2012-08-07,836.0
2012-08-08,812.0
2012-08-09,790.0
2012-08-10,774.0
2012-08-11,769.0
2012-08-12,769.0
2012-08-13,764.0
2012-08-14,750.0
2012-08-15,728.0
2012-08-16,720.0
2012-08-17,714.0
2012-08-18,712.5
2012-08-19,712.5
2012-08-20,711.0
2012-08-21,709.0
2012-08-22,712.0
2012-08-23,715.0
2012-08-24,717.0
2012-08-25,720.5
2012-08-26,720.5
2012-08-27,720.5
2012-08-28,724.0
2012-08-29,718.0
2012-08-30,707.0
2012-08-31,703.0
2012-09-01,700.5
2012-09-02,700.5
2012-09-03,698.0
2012-09-04,693.0
2012-09-05,684.0
2012-09-06,675.0
2012-09-07,669.0
2012-09-08,667.5
2012-09-09,667.5
2012-09-10,666.0
2012-09-11,662.0
2012-09-12,661.0
2012-09-13,663.0
2012-09-14,662.0
2012-09-15,662.5
2012-09-16,662.5
2012-09-17,663.0
2012-09-18,697.0
2012-09-19,722.0
2012-09-20,755.0
2012-09-21,774.0
2012-09-22,773.0
2012-09-23,773.0
2012-09-24,772.0
2012-09-25,763.0
2012-09-26,752.0
2012-09-27,744.0
2012-09-28,766.0
2012-09-29,771.5
2012-09-30,771.5
2012-10-01,777.0
2012-10-02,778.0
2012-10-03,798.0
2012-10-04,845.0
2012-10-05,875.0
2012-10-06,879.0
2012-10-07,879.0
2012-10-08,883.0
2012-10-09,875.0
2012-10-10,875.0
2012-10-11,903.0
2012-10-12,926.0
2012-10-13,933.5
2012-10-14,933.5
2012-10-15,941.0
2012-10-16,981.0
2012-10-17,999.0
2012-10-18,989.0
2012-10-19,1010.0
2012-10-20,1023.5
2012-10-21,1023.5
2012-10-22,1037.0
2012-10-23,1109.0
2012-10-24,1088.0
2012-10-25,1051.0
2012-10-26,1049.0
2012-10-27,1048.5
2012-10-28,1048.5
2012-10-29,1048.0
2012-10-30,1043.0
2012-10-31,1026.0
2012-11-01,1000.0
2012-11-02,986.0
2012-11-03,978.5
2012-11-04,978.5
2012-11-05,971.0
2012-11-06,947.0
2012-11-07,916.0
2012-11-08,916.0
2012-11-09,940.0
2012-11-10,952.5
2012-11-11,952.5
2012-11-12,965.0
2012-11-13,985.0
2012-11-14,1011.0
2012-11-15,1024.0
2012-11-16,1036.0
2012-11-17,1045.0
2012-11-18,1045.0
2012-11-19,1054.0
2012-11-20,1066.0
2012-11-21,1073.0
2012-11-22,1084.0
2012-11-23,1090.0
2012-11-24,1092.0
2012-11-25,1092.0
2012-11-26,1094.0
2012-11-27,1097.0
2012-11-28,1104.0
2012-11-29,1097.0
2012-11-30,1086.0
2012-12-01,1081.5
2012-12-02,1081.5
2012-12-03,1077.0
2012-12-04,1054.0
2012-12-05,1022.0
2012-12-06,990.0
2012-12-07,966.0
2012-12-08,951.5
2012-12-09,951.5
2012-12-10,937.0
2012-12-11,900.0
2012-12-12,826.0
2012-12-13,799.0
2012-12-14,784.0
2012-12-15,775.0
2012-12-16,775.0
2012-12-17,766.0
2012-12-18,743.0
2012-12-19,720.0
2012-12-20,708.0
2012-12-21,700.0
2012-12-22,699.5
2012-12-23,699.5
2012-12-24,699.0
2012-12-25,698.5
2012-12-26,698.5
2012-12-27,698.5
2012-12-28,698.5
2012-12-29,698.5
2012-12-30,698.5
2012-12-31,698.5
2013-01-01,698.5
2013-01-02,698.0
2013-01-03,700.0
2013-01-04,706.0
2013-01-05,709.0
2013-01-06,709.0
2013-01-07,712.0
2013-01-08,734.0
2013-01-09,743.0
2013-01-10,751.0
2013-01-11,760.0
2013-01-12,761.0
2013-01-13,761.0
2013-01-14,762.0
2013-01-15,765.0
2013-01-16,781.0
2013-01-17,820.0
2013-01-18,837.0
2013-01-19,837.5
2013-01-20,837.5
2013-01-21,838.0
2013-01-22,825.0
2013-01-23,817.0
2013-01-24,808.0
2013-01-25,798.0
2013-01-26,795.0
2013-01-27,795.0
2013-01-28,792.0
2013-01-29,779.0
2013-01-30,767.0
2013-01-31,760.0
2013-02-01,750.0
2013-02-02,747.5
2013-02-03,747.5
2013-02-04,745.0
2013-02-05,739.0
2013-02-06,740.0
2013-02-07,749.0
2013-02-08,748.0
2013-02-09,747.0
2013-02-10,747.0
2013-02-11,746.0
2013-02-12,747.0
2013-02-13,751.0
2013-02-14,748.0
2013-02-15,753.0
2013-02-16,750.0
2013-02-17,750.0
2013-02-18,747.0
2013-02-19,738.0
2013-02-20,735.0
2013-02-21,737.0
2013-02-22,740.0
2013-02-23,741.5
2013-02-24,741.5
2013-02-25,743.0
2013-02-26,741.0
2013-02-27,745.0
2013-02-28,757.0
2013-03-01,776.0
2013-03-02,782.5
2013-03-03,782.5
2013-03-04,789.0
2013-03-05,806.0
2013-03-06,820.0
2013-03-07,834.0
2013-03-08,843.0
2013-03-09,845.0
2013-03-10,845.0
2013-03-11,847.0
2013-03-12,865.0
2013-03-13,875.0
2013-03-14,880.0
2013-03-15,892.0
2013-03-16,895.5
2013-03-17,895.5
2013-03-18,899.0
2013-03-19,912.0
2013-03-20,923.0
2013-03-21,930.0
2013-03-22,933.0
2013-03-23,934.0
2013-03-24,934.0
2013-03-25,935.0
2013-03-26,931.0
2013-03-27,922.0
2013-03-28,910.0
2013-03-29,903.0
2013-03-30,903.0
2013-03-31,903.0
2013-04-01,903.0
2013-04-02,896.0
2013-04-03,877.0
2013-04-04,866.0
2013-04-05,861.0
2013-04-06,859.5
2013-04-07,859.5
2013-04-08,858.0
2013-04-09,856.0
2013-04-10,859.0
2013-04-11,865.0
2013-04-12,875.0
2013-04-13,875.5
2013-04-14,875.5
2013-04-15,876.0
2013-04-16,880.0
2013-04-17,885.0
2013-04-18,885.0
2013-04-19,888.0
2013-04-20,888.5
2013-04-21,888.5
2013-04-22,889.0
2013-04-23,885.0
2013-04-24,879.0
2013-04-25,872.0
2013-04-26,871.0
2013-04-27,869.5
2013-04-28,869.5
2013-04-29,868.0
2013-04-30,863.0
2013-05-01,862.0
2013-05-02,873.0
2013-05-03,878.0
2013-05-04,883.5
2013-05-05,883.5
2013-05-06,883.5
2013-05-07,889.0
2013-05-08,892.0
2013-05-09,889.0
2013-05-10,884.0
2013-05-11,881.5
2013-05-12,881.5
2013-05-13,879.0
2013-05-14,872.0
2013-05-15,861.0
2013-05-16,850.0
2013-05-17,841.0
2013-05-18,838.5
2013-05-19,838.5
2013-05-20,836.0
2013-05-21,830.0
2013-05-22,829.0
2013-05-23,828.0
2013-05-24,826.0
2013-05-25,824.0
2013-05-26,824.0
2013-05-27,824.0
2013-05-28,822.0
2013-05-29,818.0
2013-05-30,811.0
2013-05-31,809.0
2013-06-01,807.5
2013-06-02,807.5
2013-06-03,806.0
2013-06-04,805.0
2013-06-05,801.0
2013-06-06,806.0
2013-06-07,812.0
2013-06-08,813.5
2013-06-09,813.5
2013-06-10,815.0
2013-06-11,825.0
2013-06-12,847.0
2013-06-13,873.0
2013-06-14,900.0
2013-06-15,912.5
2013-06-16,912.5
2013-06-17,925.0
2013-06-18,962.0
2013-06-19,995.0
2013-06-20,1012.0
2013-06-21,1027.0
2013-06-22,1044.5
2013-06-23,1044.5
2013-06-24,1062.0
2013-06-25,1090.0
2013-06-26,1125.0
2013-06-27,1151.0
2013-06-28,1171.0
2013-06-29,1175.0
2013-06-30,1175.0
2013-07-01,1179.0
2013-07-02,1170.0
2013-07-03,1133.0
2013-07-04,1103.0
2013-07-05,1099.0
2013-07-06,1107.0
2013-07-07,1107.0
2013-07-08,1115.0
2013-07-09,1120.0
2013-07-10,1130.0
2013-07-11,1139.0
2013-07-12,1149.0
2013-07-13,1150.0
2013-07-14,1150.0
2013-07-15,1151.0
2013-07-16,1152.0
2013-07-17,1151.0
2013-07-18,1146.0
2013-07-19,1138.0
2013-07-20,1136.5
2013-07-21,1136.5
2013-07-22,1135.0
2013-07-23,1127.0
2013-07-24,1117.0
2013-07-25,1092.0
2013-07-26,1082.0
2013-07-27,1078.5
2013-07-28,1078.5
2013-07-29,1075.0
2013-07-30,1067.0
2013-07-31,1062.0
2013-08-01,1066.0
2013-08-02,1065.0
2013-08-03,1061.5
2013-08-04,1061.5
2013-08-05,1058.0
2013-08-06,1046.0
2013-08-07,1024.0
2013-08-08,1012.0
2013-08-09,1001.0
2013-08-10,998.5
2013-08-11,998.5
2013-08-12,996.0
2013-08-13,1007.0
2013-08-14,1060.0
2013-08-15,1091.0
2013-08-16,1102.0
2013-08-17,1108.5
2013-08-18,1108.5
2013-08-19,1115.0
2013-08-20,1145.0
2013-08-21,1156.0
2013-08-22,1158.0
2013-08-23,1165.0
2013-08-24,1167.0
2013-08-25,1167.0
2013-08-26,1167.0
2013-08-27,1169.0
2013-08-28,1146.0
2013-08-29,1136.0
2013-08-30,1132.0
2013-08-31,1135.5
2013-09-01,1135.5
2013-09-02,1139.0
2013-09-03,1168.0
2013-09-04,1215.0
2013-09-05,1279.0
2013-09-06,1352.0
2013-09-07,1415.0
2013-09-08,1415.0
2013-09-09,1478.0
2013-09-10,1541.0
2013-09-11,1628.0
2013-09-12,1621.0
2013-09-13,1636.0
2013-09-14,1643.5
2013-09-15,1643.5
2013-09-16,1651.0
2013-09-17,1740.0
2013-09-18,1822.0
2013-09-19,1860.0
2013-09-20,1904.0
2013-09-21,1925.5
2013-09-22,1925.5
2013-09-23,1947.0
2013-09-24,2021.0
2013-09-25,2127.0
2013-09-26,2113.0
2013-09-27,2046.0
2013-09-28,2024.5
2013-09-29,2024.5
2013-09-30,2003.0
2013-10-01,1994.0
2013-10-02,2008.0
2013-10-03,2047.0
2013-10-04,2084.0
2013-10-05,2099.5
2013-10-06,2099.5
2013-10-07,2115.0
2013-10-08,2146.0
2013-10-09,2125.0
2013-10-10,2011.0
2013-10-11,1985.0
2013-10-12,1973.0
2013-10-13,1973.0
2013-10-14,1961.0
2013-10-15,1963.0
2013-10-16,1965.0
2013-10-17,1960.0
2013-10-18,1901.0
2013-10-19,1889.5
2013-10-20,1889.5
2013-10-21,1878.0
2013-10-22,1847.0
2013-10-23,1786.0
2013-10-24,1708.0
2013-10-25,1671.0
2013-10-26,1645.0
2013-10-27,1645.0
2013-10-28,1619.0
2013-10-29,1551.0
2013-10-30,1484.0
2013-10-31,1504.0
2013-11-01,1525.0
2013-11-02,1538.5
2013-11-03,1538.5
2013-11-04,1552.0
2013-11-05,1600.0
2013-11-06,1602.0
2013-11-07,1593.0
2013-11-08,1581.0
2013-11-09,1572.5
2013-11-10,1572.5
2013-11-11,1564.0
2013-11-12,1543.0
2013-11-13,1531.0
2013-11-14,1517.0
2013-11-15,1507.0
2013-11-16,1503.5
2013-11-17,1503.5
2013-11-18,1500.0
2013-11-19,1495.0
2013-11-20,1527.0
2013-11-21,1499.0
2013-11-22,1483.0
2013-11-23,1487.5
2013-11-24,1487.5
2013-11-25,1492.0
2013-11-26,1512.0
2013-11-27,1573.0
2013-11-28,1719.0
2013-11-29,1821.0
2013-11-30,1843.0
2013-12-01,1843.0
2013-12-02,1865.0
2013-12-03,1922.0
2013-12-04,1994.0
2013-12-05,2145.0
2013-12-06,2176.0
2013-12-07,2179.5
2013-12-08,2179.5
2013-12-09,2183.0
2013-12-10,2237.0
2013-12-11,2299.0
2013-12-12,2337.0
2013-12-13,2330.0
2013-12-14,2311.0
2013-12-15,2311.0
2013-12-16,2292.0
2013-12-17,2225.0
2013-12-18,2156.0
2013-12-19,2134.0
2013-12-20,2208.0
2013-12-21,2227.5
2013-12-22,2227.5
2013-12-23,2247.0
2013-12-24,2277.0
2013-12-25,2195.0
2013-12-26,2195.0
2013-12-27,2195.0
2013-12-28,2195.0
2013-12-29,2195.0
2013-12-30,2195.0
2013-12-31,2195.0
2014-01-01,2195.0
2014-01-02,2113.0
2014-01-03,2036.0
2014-01-04,1993.5
2014-01-05,1993.5
2014-01-06,1951.0
2014-01-07,1876.0
2014-01-08,1826.0
2014-01-09,1706.0
2014-01-10,1512.0
2014-01-11,1453.5
2014-01-12,1453.5
2014-01-13,1395.0
2014-01-14,1370.0
2014-01-15,1374.0
2014-01-16,1398.0
2014-01-17,1421.0
2014-01-18,1424.5
2014-01-19,1424.5
2014-01-20,1428.0
2014-01-21,1369.0
2014-01-22,1322.0
2014-01-23,1271.0
2014-01-24,1246.0
2014-01-25,1231.5
2014-01-26,1231.5
2014-01-27,1217.0
2014-01-28,1177.0
2014-01-29,1148.0
2014-01-30,1127.0
2014-01-31,1110.0
2014-02-01,1101.5
2014-02-02,1101.5
2014-02-03,1093.0
2014-02-04,1084.0
2014-02-05,1086.0
2014-02-06,1092.0
2014-02-07,1091.0
2014-02-08,1093.5
2014-02-09,1093.5
2014-02-10,1096.0
2014-02-11,1091.0
2014-02-12,1085.0
2014-02-13,1097.0
2014-02-14,1106.0
2014-02-15,1118.0
2014-02-16,1118.0
2014-02-17,1130.0
2014-02-18,1146.0
2014-02-19,1160.0
2014-02-20,1164.0
2014-02-21,1175.0
2014-02-22,1174.5
2014-02-23,1174.5
2014-02-24,1174.0
2014-02-25,1197.0
2014-02-26,1222.0
2014-02-27,1250.0
2014-02-28,1258.0
2014-03-01,1267.0
2014-03-02,1267.0
2014-03-03,1276.0
2014-03-04,1325.0
2014-03-05,1391.0
2014-03-06,1480.0
2014-03-07,1543.0
2014-03-08,1552.5
2014-03-09,1552.5
2014-03-10,1562.0
2014-03-11,1580.0
2014-03-12,1453.0
2014-03-13,1468.0
2014-03-14,1477.0
2014-03-15,1479.0
2014-03-16,1479.0
2014-03-17,1481.0
2014-03-18,1518.0
2014-03-19,1570.0
2014-03-20,1621.0
2014-03-21,1599.0
2014-03-22,1600.5
2014-03-23,1600.5
2014-03-24,1602.0
2014-03-25,1578.0
2014-03-26,1496.0
2014-03-27,1412.0
2014-03-28,1373.0
2014-03-29,1367.5
2014-03-30,1367.5
2014-03-31,1362.0
2014-04-01,1316.0
2014-04-02,1273.0
2014-04-03,1235.0
2014-04-04,1205.0
2014-04-05,1195.5
2014-04-06,1195.5
2014-04-07,1186.0
2014-04-08,1098.0
2014-04-09,1061.0
2014-04-10,1029.0
2014-04-11,1002.0
2014-04-12,995.5
2014-04-13,995.5
2014-04-14,989.0
2014-04-15,970.0
2014-04-16,936.0
2014-04-17,930.0
