Date,bpi
2012-07-04,1051.0
2012-07-05,1090.0
2012-07-06,1129.0
2012-07-07,1137.0
2012-07-08,1137.0
2012-07-09,1145.0
2012-07-10,1160.0
2012-07-11,1175.0
2012-07-12,1187.0
2012-07-13,1202.0
2012-07-14,1205.5
2012-07-15,1205.5
2012-07-16,1209.0
2012-07-17,1214.0
2012-07-18,1206.0
2012-07-19,1183.0
2012-07-20,1156.0
2012-07-21,1145.0
2012-07-22,1145.0
2012-07-23,1134.0
2012-07-24,1109.0
2012-07-25,1088.0
2012-07-26,1058.0
2012-07-27,1031.0
2012-07-28,1020.5
2012-07-29,1020.5
2012-07-30,1010.0
2012-07-31,982.0
2012-08-01,954.0
2012-08-02,931.0
2012-08-03,910.0
2012-08-04,900.0
2012-08-05,900.0
2012-08-06,890.0
2012-08-07,868.0
2012-08-08,840.0
2012-08-09,823.0
2012-08-10,814.0
2012-08-11,809.0
2012-08-12,809.0
2012-08-13,804.0
2012-08-14,803.0
2012-08-15,801.0
2012-08-16,801.0
2012-08-17,806.0
2012-08-18,812.5
2012-08-19,812.5
2012-08-20,819.0
2012-08-21,833.0
2012-08-22,843.0
2012-08-23,840.0
2012-08-24,828.0
2012-08-25,820.0
2012-08-26,820.0
2012-08-27,820.0
2012-08-28,812.0
2012-08-29,788.0
2012-08-30,758.0
2012-08-31,735.0
2012-09-01,724.5
2012-09-02,724.5
2012-09-03,714.0
2012-09-04,686.0
2012-09-05,647.0
2012-09-06,617.0
2012-09-07,599.0
2012-09-08,590.5
2012-09-09,590.5
2012-09-10,582.0
2012-09-11,566.0
2012-09-12,545.0
2012-09-13,527.0
2012-09-14,502.0
2012-09-15,492.5
2012-09-16,492.5
2012-09-17,483.0
2012-09-18,474.0
2012-09-19,468.0
2012-09-20,468.0
2012-09-21,467.0
2012-09-22,464.0
2012-09-23,464.0
2012-09-24,461.0
2012-09-25,441.0
2012-09-26,426.0
2012-09-27,418.0
2012-09-28,425.0
2012-09-29,432.0
2012-09-30,432.0
2012-10-01,439.0
2012-10-02,463.0
2012-10-03,496.0
2012-10-04,544.0
2012-10-05,598.0
2012-10-06,622.5
2012-10-07,622.5
2012-10-08,647.0
2012-10-09,712.0
2012-10-10,784.0
2012-10-11,843.0
2012-10-12,871.0
2012-10-13,878.0
2012-10-14,878.0
2012-10-15,885.0
2012-10-16,904.0
2012-10-17,904.0
2012-10-18,895.0
2012-10-19,879.0
2012-10-20,870.0
2012-10-21,870.0
2012-10-22,861.0
2012-10-23,843.0
2012-10-24,825.0
2012-10-25,811.0
2012-10-26,804.0
2012-10-27,801.5
2012-10-28,801.5
2012-10-29,799.0
2012-10-30,792.0
2012-10-31,782.0
2012-11-01,770.0
2012-11-02,766.0
2012-11-03,761.5
2012-11-04,761.5
2012-11-05,757.0
2012-11-06,747.0
2012-11-07,737.0
2012-11-08,726.0
2012-11-09,722.0
2012-11-10,721.0
2012-11-11,721.0
2012-11-12,720.0
2012-11-13,732.0
2012-11-14,774.0
2012-11-15,846.0
2012-11-16,886.0
2012-11-17,894.0
2012-11-18,894.0
2012-11-19,902.0
2012-11-20,933.0
2012-11-21,963.0
2012-11-22,991.0
2012-11-23,1013.0
2012-11-24,1017.0
