Date,steelHRC
2019-03-12,526.0
2019-03-13,528.0
2019-03-14,531.0
2019-03-15,533.0
2019-03-16,532.75
2019-03-17,532.75
2019-03-18,532.5
2019-03-19,535.0
2019-03-20,534.5
2019-03-21,535.0
2019-03-22,536.0
2019-03-23,535.5
2019-03-24,535.5
2019-03-25,535.0
2019-03-26,533.0
2019-03-27,534.0
2019-03-28,533.0
2019-03-29,532.19
2019-03-30,530.095
2019-03-31,530.095
2019-04-01,528.0
2019-04-02,525.0
2019-04-03,525.0
2019-04-04,523.0
2019-04-05,523.0
2019-04-06,524.0
2019-04-07,524.0
2019-04-08,525.0
2019-04-09,523.0
2019-04-10,526.0
2019-04-11,526.0
2019-04-12,525.0
2019-04-13,527.5
2019-04-14,527.5
2019-04-15,530.0
2019-04-16,530.0
2019-04-17,529.5
2019-04-18,531.0
2019-04-19,530.0
2019-04-20,530.0
2019-04-21,530.0
2019-04-22,530.0
2019-04-23,529.0
2019-04-24,528.5
2019-04-25,528.5
2019-04-26,528.5
2019-04-27,528.5
2019-04-28,528.5
2019-04-29,528.5
2019-04-30,528.19
2019-05-01,529.0
2019-05-02,529.0
2019-05-03,529.0
2019-05-04,528.5
2019-05-05,528.5
2019-05-06,528.5
2019-05-07,528.0
2019-05-08,528.0
2019-05-09,525.0
2019-05-10,525.0
2019-05-11,524.0
2019-05-12,524.0
2019-05-13,523.0
2019-05-14,523.0
2019-05-15,523.0
2019-05-16,523.0
2019-05-17,522.0
2019-05-18,521.0
2019-05-19,521.0
2019-05-20,520.0
2019-05-21,520.0
2019-05-22,519.0
2019-05-23,519.0
2019-05-24,517.0
2019-05-25,518.0
2019-05-26,518.0
2019-05-27,518.0
2019-05-28,519.0
2019-05-29,516.0
2019-05-30,516.0
2019-05-31,515.81
2019-06-01,506.905
2019-06-02,506.905
2019-06-03,498.0
2019-06-04,495.0
2019-06-05,493.0
2019-06-06,491.5
2019-06-07,491.0
2019-06-08,491.0
2019-06-09,491.0
2019-06-10,491.0
2019-06-11,491.0
2019-06-12,491.0
2019-06-13,489.0
2019-06-14,494.0
2019-06-15,491.5
2019-06-16,491.5
2019-06-17,489.0
2019-06-18,487.0
2019-06-19,487.0
2019-06-20,487.0
2019-06-21,493.5
2019-06-22,492.25
2019-06-23,492.25
2019-06-24,491.0
2019-06-25,490.0
2019-06-26,490.0
2019-06-27,491.0
2019-06-28,491.95
2019-06-29,504.475
2019-06-30,504.475
2019-07-01,517.0
2019-07-02,519.0
2019-07-03,516.0
2019-07-04,512.0
2019-07-05,512.0
2019-07-06,512.0
2019-07-07,512.0
2019-07-08,512.0
2019-07-09,510.0
2019-07-10,506.0
2019-07-11,507.0
2019-07-12,506.0
2019-07-13,508.5
2019-07-14,508.5
2019-07-15,511.0
2019-07-16,507.0
2019-07-17,507.0
2019-07-18,508.0
2019-07-19,509.0
2019-07-20,508.5
2019-07-21,508.5
2019-07-22,508.0
2019-07-23,508.0
2019-07-24,505.5
2019-07-25,507.0
2019-07-26,507.0
2019-07-27,506.5
2019-07-28,506.5
2019-07-29,506.0
2019-07-30,506.0
2019-07-31,506.7
2019-08-01,505.0
2019-08-02,497.5
2019-08-03,497.5
2019-08-04,497.5
2019-08-05,497.5
2019-08-06,489.0
2019-08-07,485.0
2019-08-08,487.0
2019-08-09,488.0
2019-08-10,489.0
2019-08-11,489.0
2019-08-12,490.0
2019-08-13,485.0
2019-08-14,485.0
2019-08-15,485.0
2019-08-16,485.0
2019-08-17,484.5
2019-08-18,484.5
2019-08-19,484.0
2019-08-20,485.0
2019-08-21,480.0
2019-08-22,481.0
2019-08-23,482.0
2019-08-24,482.0
2019-08-25,482.0
2019-08-26,482.0
2019-08-27,482.0
2019-08-28,481.0
2019-08-29,481.0
2019-08-30,480.35
2019-08-31,470.175
2019-09-01,470.175
2019-09-02,460.0
2019-09-03,456.5
2019-09-04,458.5
2019-09-05,449.0
2019-09-06,457.0
2019-09-07,458.0
2019-09-08,458.0
2019-09-09,459.0
2019-09-10,462.0
2019-09-11,462.0
2019-09-12,462.0
2019-09-13,462.0
2019-09-14,462.5
2019-09-15,462.5
2019-09-16,463.0
2019-09-17,463.0
2019-09-18,456.5
2019-09-19,456.0
2019-09-20,456.0
2019-09-21,456.5
2019-09-22,456.5
2019-09-23,457.0
2019-09-24,458.0
2019-09-25,459.0
2019-09-26,458.0
2019-09-27,458.0
2019-09-28,458.74
2019-09-29,458.74
2019-09-30,459.48
2019-10-01,445.5
