Date,dow_jones_index
2012-07-04,9960.0
2012-07-05,9950.0
2012-07-06,9900.0
2012-07-07,9840.0
2012-07-08,9840.0
2012-07-09,9780.0
2012-07-10,9760.0
2012-07-11,9680.0
2012-07-12,9600.0
2012-07-13,9640.0
2012-07-14,9685.0
2012-07-15,9685.0
2012-07-16,9685.0
2012-07-17,9730.0
2012-07-18,9710.0
2012-07-19,9800.0
2012-07-20,9740.0
2012-07-21,9665.0
2012-07-22,9665.0
2012-07-23,9590.0
2012-07-24,9560.0
2012-07-25,9450.0
2012-07-26,9550.0
2012-07-27,9730.0
2012-07-28,9775.0
2012-07-29,9775.0
2012-07-30,9820.0
2012-07-31,9860.0
2012-08-01,9730.0
2012-08-02,9800.0
2012-08-03,9720.0
2012-08-04,9805.0
2012-08-05,9805.0
2012-08-06,9890.0
2012-08-07,9880.0
2012-08-08,9900.0
2012-08-09,9980.0
2012-08-10,9920.0
2012-08-11,9915.0
2012-08-12,9915.0
2012-08-13,9910.0
2012-08-14,9940.0
2012-08-15,9930.0
2012-08-16,10070.0
2012-08-17,10110.0
2012-08-18,10175.0
2012-08-19,10175.0
2012-08-20,10240.0
2012-08-21,10120.0
2012-08-22,10080.0
2012-08-23,10040.0
2012-08-24,9950.0
2012-08-25,9970.0
2012-08-26,9970.0
2012-08-27,9990.0
2012-08-28,9980.0
2012-08-29,9940.0
2012-08-30,9920.0
2012-08-31,9870.0
2012-09-01,9880.0
2012-09-02,9880.0
2012-09-03,9890.0
2012-09-04,9920.0
2012-09-05,9870.0
2012-09-06,9880.0
2012-09-07,10080.0
2012-09-08,10060.0
2012-09-09,10060.0
2012-09-10,10040.0
2012-09-11,10000.0
2012-09-12,10050.0
2012-09-13,10030.0
2012-09-14,10130.0
2012-09-15,10200.0
2012-09-16,10200.0
2012-09-17,10200.0
2012-09-18,10270.0
2012-09-19,10400.0
2012-09-20,10200.0
2012-09-21,10290.0
2012-09-22,10260.0
2012-09-23,10260.0
2012-09-24,10230.0
2012-09-25,10200.0
2012-09-26,10140.0
2012-09-27,10190.0
2012-09-28,10200.0
2012-09-29,10170.0
2012-09-30,10170.0
2012-10-01,10140.0
2012-10-02,10190.0
2012-10-03,10180.0
2012-10-04,10250.0
2012-10-05,10240.0
2012-10-06,10240.0
2012-10-07,10240.0
2012-10-08,10240.0
2012-10-09,10240.0
2012-10-10,10140.0
2012-10-11,10080.0
2012-10-12,10110.0
2012-10-13,10120.0
2012-10-14,10120.0
2012-10-15,10130.0
2012-10-16,10290.0
2012-10-17,10310.0
2012-10-18,10380.0
2012-10-19,10380.0
2012-10-20,10350.0
2012-10-21,10350.0
2012-10-22,10320.0
2012-10-23,10320.0
2012-10-24,10150.0
2012-10-25,10190.0
2012-10-26,10090.0
2012-10-27,10110.0
2012-10-28,10110.0
2012-10-29,10130.0
2012-10-30,10060.0
2012-10-31,10080.0
2012-11-01,10080.0
2012-11-02,10230.0
2012-11-03,10210.0
2012-11-04,10210.0
2012-11-05,10190.0
2012-11-06,10200.0
2012-11-07,10280.0
2012-11-08,10040.0
2012-11-09,9940.0
2012-11-10,9935.0
2012-11-11,9935.0
2012-11-12,9930.0
2012-11-13,9910.0
2012-11-14,9910.0
2012-11-15,9940.0
2012-11-16,10000.0
2012-11-17,10035.0
2012-11-18,10035.0
2012-11-19,10070.0
2012-11-20,10120.0
2012-11-21,10120.0
2012-11-22,10230.0
2012-11-23,10260.0
2012-11-24,10260.0
2012-11-25,10260.0
2012-11-26,10290.0
2012-11-27,10320.0
2012-11-28,10160.0
2012-11-29,10320.0
2012-11-30,10350.0
2012-12-01,10350.0
2012-12-02,10350.0
2012-12-03,10350.0
2012-12-04,10270.0
2012-12-05,10220.0
2012-12-06,10290.0
2012-12-07,10350.0
2012-12-08,10360.0
2012-12-09,10360.0
2012-12-10,10370.0
2012-12-11,10360.0
2012-12-12,10580.0
2012-12-13,10670.0
2012-12-14,10650.0
2012-12-15,10665.0
2012-12-16,10665.0
2012-12-17,10680.0
2012-12-18,10770.0
2012-12-19,10960.0
2012-12-20,10830.0
2012-12-21,10580.0
2012-12-22,10700.0
2012-12-23,10700.0
2012-12-24,10700.0
2012-12-25,10820.0
2012-12-26,10820.0
2012-12-27,10840.0
2012-12-28,10840.0
2012-12-29,11095.0
2012-12-30,11095.0
2012-12-31,11095.0
2013-01-01,11095.0
2013-01-02,11095.0
2013-01-03,11095.0
2013-01-04,11350.0
2013-01-05,11350.0
2013-01-06,11350.0
2013-01-07,11350.0
2013-01-08,11280.0
2013-01-09,11270.0
2013-01-10,11370.0
2013-01-11,11540.0
2013-01-12,11535.0
2013-01-13,11535.0
2013-01-14,11535.0
2013-01-15,11530.0
2013-01-16,11460.0
2013-01-17,11490.0
2013-01-18,11790.0
2013-01-19,11795.0
2013-01-20,11795.0
2013-01-21,11800.0
2013-01-22,11810.0
2013-01-23,11790.0
2013-01-24,11930.0
2013-01-25,12110.0
2013-01-26,12155.0
2013-01-27,12155.0
2013-01-28,12200.0
2013-01-29,12420.0
2013-01-30,12310.0
2013-01-31,12270.0
2013-02-01,12390.0
2013-02-02,12475.0
2013-02-03,12475.0
2013-02-04,12560.0
2013-02-05,12440.0
2013-02-06,12710.0
2013-02-07,12680.0
2013-02-08,12690.0
2013-02-09,12760.0
2013-02-10,12760.0
2013-02-11,12760.0
2013-02-12,12830.0
2013-02-13,12860.0
2013-02-14,12890.0
2013-02-15,12720.0
2013-02-16,12810.0
2013-02-17,12810.0
2013-02-18,12900.0
2013-02-19,12780.0
2013-02-20,12770.0
2013-02-21,12650.0
2013-02-22,12600.0
2013-02-23,12710.0
2013-02-24,12710.0
2013-02-25,12820.0
2013-02-26,12660.0
2013-02-27,12450.0
2013-02-28,12670.0
2013-03-01,12640.0
2013-03-02,12695.0
2013-03-03,12695.0
2013-03-04,12750.0
2013-03-05,12750.0
2013-03-06,12900.0
2013-03-07,13070.0
2013-03-08,13330.0
2013-03-09,13460.0
2013-03-10,13460.0
2013-03-11,13590.0
2013-03-12,13860.0
2013-03-13,13740.0
2013-03-14,13870.0
2013-03-15,14070.0
2013-03-16,13950.0
2013-03-17,13950.0
2013-03-18,13830.0
2013-03-19,13960.0
2013-03-20,14000.0
2013-03-21,14040.0
2013-03-22,13730.0
2013-03-23,13740.0
2013-03-24,13740.0
2013-03-25,13750.0
2013-03-26,13710.0
2013-03-27,13730.0
2013-03-28,13580.0
2013-03-29,13560.0
2013-03-30,13520.0
2013-03-31,13520.0
2013-04-01,13480.0
2013-04-02,13350.0
2013-04-03,13440.0
2013-04-04,13400.0
2013-04-05,13620.0
2013-04-06,13735.0
2013-04-07,13735.0
2013-04-08,13850.0
2013-04-09,14040.0
2013-04-10,14060.0
2013-04-11,14220.0
2013-04-12,14300.0
2013-04-13,14200.0
2013-04-14,14200.0
2013-04-15,14100.0
2013-04-16,13890.0
2013-04-17,13980.0
2013-04-18,13900.0
2013-04-19,13880.0
2013-04-20,13955.0
2013-04-21,13955.0
2013-04-22,14030.0
2013-04-23,13900.0
2013-04-24,14150.0
2013-04-25,14100.0
2013-04-26,14000.0
2013-04-27,14015.0
2013-04-28,14015.0
2013-04-29,14015.0
2013-04-30,14030.0
2013-05-01,13990.0
2013-05-02,13860.0
2013-05-03,14085.0
2013-05-04,14085.0
2013-05-05,14085.0
2013-05-06,14085.0
2013-05-07,14310.0
2013-05-08,14370.0
2013-05-09,14380.0
2013-05-10,14800.0
2013-05-11,14835.0
2013-05-12,14835.0
2013-05-13,14870.0
2013-05-14,14860.0
2013-05-15,15000.0
2013-05-16,15060.0
2013-05-17,15140.0
2013-05-18,15190.0
2013-05-19,15190.0
2013-05-20,15240.0
2013-05-21,15240.0
2013-05-22,15320.0
2013-05-23,15130.0
2013-05-24,15060.0
2013-05-25,14985.0
2013-05-26,14985.0
2013-05-27,14910.0
2013-05-28,15200.0
2013-05-29,15230.0
2013-05-30,14910.0
2013-05-31,14890.0
2013-06-01,14765.0
2013-06-02,14765.0
2013-06-03,14640.0
2013-06-04,14700.0
2013-06-05,14580.0
2013-06-06,14330.0
2013-06-07,14120.0
2013-06-08,14310.0
2013-06-09,14310.0
2013-06-10,14500.0
2013-06-11,14490.0
2013-06-12,14250.0
2013-06-13,13590.0
2013-06-14,13890.0
2013-06-15,13880.0
2013-06-16,13880.0
2013-06-17,13870.0
2013-06-18,13930.0
2013-06-19,14150.0
2013-06-20,14090.0
2013-06-21,14000.0
2013-06-22,13950.0
2013-06-23,13950.0
2013-06-24,13900.0
2013-06-25,13790.0
2013-06-26,13730.0
2013-06-27,14000.0
2013-06-28,14290.0
2013-06-29,14300.0
2013-06-30,14300.0
2013-07-01,14310.0
2013-07-02,14390.0
2013-07-03,14470.0
2013-07-04,14480.0
2013-07-05,14630.0
2013-07-06,14725.0
2013-07-07,14725.0
2013-07-08,14820.0
2013-07-09,15000.0
2013-07-10,14890.0
2013-07-11,14790.0
2013-07-12,14790.0
2013-07-13,14830.0
2013-07-14,14830.0
2013-07-15,14830.0
2013-07-16,14870.0
2013-07-17,14890.0
2013-07-18,14900.0
2013-07-19,14910.0
2013-07-20,14920.0
2013-07-21,14920.0
2013-07-22,14930.0
2013-07-23,14970.0
2013-07-24,14940.0
2013-07-25,14920.0
2013-07-26,14850.0
2013-07-27,14740.0
2013-07-28,14740.0
2013-07-29,14630.0
2013-07-30,14790.0
2013-07-31,14780.0
2013-08-01,14770.0
2013-08-02,15000.0
2013-08-03,14950.0
2013-08-04,14950.0
2013-08-05,14900.0
2013-08-06,14780.0
2013-08-07,14480.0
2013-08-08,14300.0
2013-08-09,14340.0
2013-08-10,14270.0
2013-08-11,14270.0
2013-08-12,14200.0
2013-08-13,14300.0
2013-08-14,14590.0
2013-08-15,14400.0
2013-08-16,14200.0
2013-08-17,14180.0
2013-08-18,14180.0
2013-08-19,14160.0
2013-08-20,14000.0
2013-08-21,14060.0
2013-08-22,13950.0
2013-08-23,14250.0
2013-08-24,14215.0
2013-08-25,14215.0
2013-08-26,14180.0
2013-08-27,14080.0
2013-08-28,13860.0
2013-08-29,13840.0
2013-08-30,13980.0
2013-08-31,14040.0
2013-09-01,14040.0
2013-09-02,14100.0
2013-09-03,14330.0
2013-09-04,14200.0
2013-09-05,14340.0
2013-09-06,14280.0
2013-09-07,14355.0
